fips,unemp
06007,-348.0
06013,-402.4
06017,-407.9
06019,-229.89999999999998
06029,-321.9
06031,-321.9
06039,-312.0
06047,-330.20000000000005
06053,-255.5999999999999
06067,-398.20000000000005
06069,-201.20000000000005
06071,-245.20000000000005
06077,-407.1
06079,-255.5999999999999
06087,-210.70000000000005
06095,-339.6
06099,-364.0
06101,-348.0
06107,-321.9
06109,-352.5
06111,-236.0
06113,-343.1
06115,-365.0
08029,50.09000000000003
08077,50.09000000000003
08085,50.09000000000003
09001,-49.25999999999999
09003,-33.48000000000002
09005,-37.57000000000005
09007,-33.389999999999986
09009,-37.57000000000005
09011,-33.64999999999998
09013,-27.24000000000001
09015,
16027,23.399999999999977
16045,23.399999999999977
16073,23.399999999999977
16075,23.399999999999977
16087,23.399999999999977
23001,
23005,
23007,
23009,
23011,
23013,
23017,
23019,
23025,
23027,
23031,
24001,
24013,
24015,
24021,
24025,
24043,
25003,-32.309999999999945
25005,
25009,
25011,-26.52999999999986
25013,-27.559999999999945
25015,-28.269999999999982
25017,
25021,
25023,
25027,
26005,
26009,
26019,
26021,
26027,
26037,
26049,
26055,
26067,
26077,
26081,235.6400000000001
26089,
26091,
26099,
26101,
26105,
26117,
26121,
26123,
26127,
26139,
26155,
26159,
26161,
33001,
33003,
33005,
33007,
33009,
33011,4.670000000000073
33013,
33015,
33017,
33019,
34001,
34005,-66.06000000000017
34007,
34011,
34015,
34019,-65.75999999999999
34021,-66.06000000000017
34023,-66.06000000000017
34027,
34033,
34035,
34037,
34041,-43.309999999999945
36001,-25.25
36007,-20.539999999999964
36011,
36019,
36021,-28.889999999999873
36027,-50.450000000000045
36031,
36035,
36055,
36063,116.26999999999998
36065,
36067,
36069,
36071,-45.40000000000009
36073,
36075,
36083,-19.210000000000036
36087,-46.0
36091,-14.460000000000036
36095,-24.720000000000027
36097,
36103,31.899999999999977
36111,-37.139999999999986
36115,-7.969999999999914
36117,
37003,
37011,
37021,
37023,
37045,
37087,
37089,
37109,
37111,
37113,
37121,
37125,
37149,
37161,
37169,
37189,
37193,
39029,-109.68
39043,-109.68
39045,-109.68
39051,-109.68
39079,-109.68
39089,-109.68
39093,-109.68
39095,-109.68
39099,-109.68
39123,-109.68
39141,-109.68
39145,-109.68
41005,-70.79999999999995
41023,242.29999999999995
41027,-70.5
41039,-70.79999999999995
41043,-70.79999999999995
41045,20.100000000000023
41047,-70.79999999999995
41049,244.20000000000005
41053,-70.79999999999995
41059,241.5999999999999
41065,-69.79999999999995
41067,-70.79999999999995
41071,-70.79999999999995
42001,
42003,
42007,
42009,
42011,
42013,
42015,
42017,-58.97000000000003
42019,
42025,
42027,
42029,
42037,
42041,
42043,
42049,
42055,
42063,
42067,
42071,
42073,
42075,
42077,
42079,-165.82000000000005
42081,
42087,
42089,-46.06000000000006
42093,
42095,-58.700000000000045
42097,
42107,
42109,
42117,
42119,
42121,
42125,
42133,
44005,
44007,
44009,-33.64999999999998
49003,31.899999999999977
49049,31.899999999999977
50001,-7.5499999999999545
50003,-20.970000000000027
50007,
50011,
50013,
50021,15.460000000000036
50025,2.6499999999999773
50027,13.780000000000086
51003,
51009,
51019,
51023,
51027,
51035,
51043,
51047,
51061,
51063,
51067,
51069,
51071,
51113,
51125,
51141,
51157,
51161,
51165,
51171,
51173,
51197,
53001,-339.4000000000001
53005,-148.5999999999999
53007,-261.29999999999995
53013,225.70000000000005
53017,-188.4000000000001
53021,-107.09999999999991
53025,-217.5999999999999
53037,-338.5999999999999
53039,-128.9000000000001
53047,-363.4000000000001
53063,-221.9000000000001
53065,-241.29999999999995
53071,-218.9000000000001
53077,-228.0
54003,
54027,
54037,
54055,
54063,
54065,
