fips,unemp
01001,
01003,
01005,1.2700000000000031
01007,
01009,0.960000000000008
01011,1.4099999999999895
01013,
01015,
01019,
01021,
01025,
01027,
01029,
01031,
01033,-6.279999999999994
01035,
01039,
01041,
01043,-5.8600000000000065
01045,
01047,
01049,6.8799999999999955
01051,
01053,
01055,-0.4999999999999929
01057,5.220000000000006
01059,-6.29999999999999
01061,
01063,3.3700000000000045
01065,
01067,1.3500000000000014
01069,
01071,-0.35999999999999943
01075,1.240000000000009
01077,-5.200000000000003
01079,-5.900000000000013
01081,1.5100000000000051
01083,-5.100000000000001
01085,
01087,1.3899999999999935
01089,-1.8399999999999963
01091,3.6099999999999994
01093,-5.380000000000003
01095,-0.7700000000000031
01097,
01099,
01101,
01103,-5.079999999999991
01105,
01107,4.060000000000002
01109,
01113,1.8100000000000023
01117,
01119,3.3799999999999955
01121,
01125,4.1299999999999955
01129,
01131,
05001,3.2299999999999898
05003,0.14999999999999858
05007,
05011,3.4200000000000017
05017,-0.9500000000000028
05019,-1.2999999999999972
05021,-0.29000000000001336
05029,0.14000000000000057
05031,-1.3899999999999935
05033,0.8800000000000026
05035,2.970000000000006
05037,0.8800000000000026
05041,0.7700000000000031
05043,3.4200000000000017
05045,-2.1400000000000006
05047,-0.740000000000002
05055,2.8100000000000023
05057,-1.0799999999999983
05059,-0.3999999999999986
05061,-11.709999999999987
05063,3.8399999999999963
05067,-3.25
05069,-0.30000000000000426
05071,0.29999999999999005
05073,-1.0799999999999983
05075,2.0799999999999983
05077,1.9000000000000057
05079,-3.5
05081,-19.259999999999998
05083,0.1799999999999926
05085,5.359999999999999
05091,-8.129999999999995
05093,3.6000000000000014
05095,0.0799999999999983
05105,-2.8100000000000023
05107,-2.009999999999991
05111,0.5599999999999952
05115,0.0
05117,2.8300000000000054
05119,-2.0800000000000054
05121,5.869999999999997
05123,3.299999999999997
05131,-1.980000000000004
05133,-11.61
05145,-0.5899999999999963
05147,0.28000000000000824
05149,0.3200000000000003
08009,-1.490000000000009
08011,-1.470000000000006
08063,-9.299999999999997
08075,-6.5
08095,-7.009999999999998
08099,-4.759999999999991
08115,0.5600000000000023
08121,-12.970000000000006
08125,-10.5
10001,1.0499999999999972
10003,0.5700000000000003
10005,3.6400000000000006
12001,0.8500000000000014
12007,1.8400000000000034
12013,-4.18
12023,0.8500000000000014
12033,
12039,0.9799999999999898
12041,0.8500000000000014
12047,2.720000000000006
12059,
12063,
12065,4.759999999999991
12067,
12073,0.7100000000000009
12075,
12077,1.019999999999996
12079,
12091,
12113,
12121,2.1300000000000097
12125,2.0400000000000063
12131,
12133,
13001,0.20999999999999375
13003,4.220000000000006
13005,-0.030000000000001137
13007,2.6400000000000006
13009,-0.7100000000000009
13011,
13013,2.1000000000000085
13015,
13017,-0.3300000000000054
13019,3.989999999999995
13021,-3.770000000000003
13023,-0.8599999999999923
13025,-1.6400000000000077
13027,3.6200000000000045
13029,-1.0
13031,-0.8900000000000006
13033,0.5999999999999943
13035,-0.7100000000000009
13037,1.4799999999999969
13043,0.07000000000000028
13045,
13047,
13051,
13055,
13057,
13059,
13061,3.6599999999999895
13065,4.220000000000006
13069,1.289999999999992
13071,
13073,
13075,3.190000000000012
13077,
13079,-0.7100000000000009
13081,2.1099999999999994
13083,0.0800000000000054
13085,
13087,-3.5799999999999983
13091,-0.6299999999999955
13093,1.470000000000006
13095,1.6600000000000037
13099,-0.3400000000000034
13103,
13105,
13107,-0.6499999999999986
13109,
13111,
13113,
13115,
13119,
13125,
13129,
13131,1.5899999999999963
13141,-0.7100000000000009
13143,
13147,
13149,
13151,
13153,-3.930000000000007
13155,4.220000000000006
13157,
13161,-2.729999999999997
13163,0.15000000000000568
13165,-0.9500000000000028
13167,2.530000000000001
13169,-0.7100000000000009
13171,
13173,4.220000000000006
13175,1.2800000000000082
13177,2.8999999999999986
13179,0.240000000000002
13183,-0.9699999999999918
13185,2.4200000000000017
13189,0.8000000000000043
13193,-1.0200000000000102
13195,
13197,2.479999999999997
13199,
13201,1.2099999999999866
13205,4.540000000000006
13209,2.030000000000001
13211,-0.7100000000000009
13213,
13217,-0.7100000000000009
13219,
13221,
13225,-1.8500000000000014
13229,-1.6200000000000045
13231,
13233,
13235,-1.2399999999999949
13243,2.799999999999997
13245,2.509999999999998
13249,2.3699999999999974
13251,-1.460000000000008
13253,-3.969999999999999
13255,
13259,1.8999999999999915
13261,3.2299999999999898
13267,-0.3399999999999963
13269,-0.5400000000000063
13271,-1.4099999999999966
13273,3.039999999999999
13275,
13277,4.6299999999999955
13279,1.7600000000000051
13283,-4.539999999999999
13285,
13287,1.529999999999994
13289,-1.259999999999998
13295,
13297,2.1000000000000085
13299,0.8399999999999963
13301,0.4099999999999966
13303,2.3999999999999986
13305,1.0499999999999972
13307,2.279999999999994
13309,0.8500000000000014
13311,
13313,
13315,1.0999999999999943
13317,
13319,1.1800000000000068
13321,1.0400000000000134
17001,
17003,
17005,
17007,
17009,
17011,
17013,
17015,
17017,
17019,
17021,
17023,
17025,
17027,
17029,
17031,
17033,
17035,
17037,
17039,
17041,
17043,
17045,
17047,
17049,
17051,
17053,
17055,
17057,
17059,8.240000000000009
17061,
17063,
17065,
17067,
17069,
17071,
17073,
17075,
17077,
17079,
17081,
17083,
17085,
17087,
17089,
17091,
17093,
17095,
17097,
17099,
17101,1.5899999999999963
17103,
17105,
17107,
17109,
17111,
17113,
17115,
17117,
17119,
17121,
17123,
17125,4.960000000000001
17127,
17129,
17131,
17133,
17135,
17137,
17139,
17141,
17143,
17145,
17147,
17149,
17151,
17153,
17155,
17157,
17159,
17161,8.670000000000002
17163,
17165,
17167,
17169,
17171,
17173,
17175,
17177,
17179,
17181,
17183,
17185,2.8299999999999983
17187,
17189,
17191,5.1299999999999955
17193,6.509999999999998
17195,8.599999999999994
17197,
17199,
17201,
17203,
18001,
18003,
18005,9.769999999999996
18007,
18009,
18011,
18013,9.769999999999996
18015,
18017,3.0600000000000023
18019,
18021,
18023,
18025,
18027,2.7900000000000134
18029,
18031,
18033,
18035,
18037,
18039,1.8899999999999935
18041,
18043,
18045,
18047,
18049,2.97000000000002
18051,3.3100000000000023
18053,
18055,3.460000000000001
18057,
18059,
18061,
18063,
18065,
18067,
18069,
18071,9.550000000000004
18073,2.509999999999991
18075,
18077,
18079,10.209999999999987
18081,
18083,3.470000000000006
18085,4.859999999999999
18087,4.279999999999994
18089,
18091,0.7899999999999991
18093,
18095,
18097,
18099,2.3200000000000074
18101,
18103,3.3900000000000006
18105,
18107,
18109,
18111,
18113,
18115,
18117,
18119,
18121,
18123,
18125,3.030000000000001
18127,0.5899999999999963
18129,
18131,3.559999999999995
18133,
18135,
18137,
18139,
18141,-0.3500000000000014
18143,
18145,
18147,
18149,1.7100000000000009
18151,7.410000000000004
18153,4.510000000000005
18155,
18157,
18159,
18161,
18163,4.720000000000006
18165,
18167,
18169,3.690000000000012
18171,
18173,4.349999999999994
18175,
18177,
18179,
18181,
18183,
19001,
19003,
19005,
19007,
19009,
19011,
19013,
19015,
19017,
19019,
19021,
19023,
19025,
19027,
19029,
19031,
19033,
19035,
19037,
19039,
19041,
19043,
19045,
19047,
19049,
19051,3.75
19053,
19055,
19057,
19059,
19061,
19063,
19065,
19067,
19069,
19071,-1.8899999999999864
19073,
19075,
19077,
19079,
19081,
19083,
19085,
19087,
19089,
19091,
19093,
19095,
19097,8.540000000000006
19099,
19101,
19103,
19105,8.839999999999996
19107,
19109,
19111,
19113,
19115,
19117,
19119,
19121,
19123,
19125,
19127,
19129,
19131,
19133,
19135,
19137,
19139,
19141,
19143,
19145,
19147,
19149,
19151,
19153,
19155,
19157,
19159,6.270000000000003
19161,
19163,
19165,
19167,
19169,
19171,
19173,5.779999999999994
19175,
19177,
19179,
19181,
19183,
19185,
19187,
19189,
19191,10.460000000000008
19193,
19195,
19197,
20001,-5.170000000000009
20003,-3.6200000000000045
20005,5.38000000000001
20007,-10.440000000000005
20009,-0.2600000000000051
20011,-11.909999999999997
20013,
20015,-8.200000000000003
20017,-6.070000000000007
20019,-5.310000000000002
20021,-10.880000000000003
20023,-1.1699999999999946
20025,-5.8600000000000065
20027,4.520000000000003
20029,2.1300000000000097
20031,-3.6099999999999994
20033,-10.43
20035,-4.489999999999995
20037,-6.960000000000001
20039,-18.259999999999998
20041,2.3100000000000023
20043,
20045,2.6499999999999986
20047,-5.569999999999993
20049,-14.269999999999996
20051,-0.6799999999999926
20053,-4.039999999999999
20055,-12.089999999999996
20057,-5.889999999999986
20059,-3.1400000000000006
20061,-3.530000000000001
