fips,unemp
01001,
01003,
01005,
01007,
01009,
01011,
01013,
01015,
01019,
01021,
01023,
01025,
01029,
01031,
01033,
01035,
01039,
01041,
01043,
01045,
01047,
01049,
01051,
01053,
01055,
01059,
01061,
01063,
01065,
01067,
01069,
01071,
01075,
01077,
01079,
01081,
01083,
01085,
01087,
01089,
01091,
01093,
01095,
01097,
01099,
01101,
01103,
01105,
01107,
01109,
01111,
01113,7.609999999999992
01115,
01117,
01119,
01121,
01125,
01129,
01131,
04003,6.519999999999996
04009,5.310000000000002
04011,5.539999999999978
04012,13.51000000000002
04013,3.3400000000000034
04015,19.039999999999992
04017,5.829999999999984
04019,6.060000000000002
04021,4.469999999999985
04025,4.65000000000002
04027,12.319999999999993
05001,
05003,
05007,
05017,
05019,
05021,7.530000000000001
05029,
05031,
05033,
05035,
05037,
05041,
05043,
05045,8.300000000000004
05047,
05055,7.880000000000003
05059,
05063,7.489999999999995
05067,
05069,
05071,
05073,
05075,
05077,
05079,
05081,
05083,
05085,
05091,
05093,
05095,
05099,
05105,
05107,
05111,
05115,
05117,
05119,
05121,7.659999999999997
05123,
05131,
05133,
05145,7.029999999999994
05147,6.239999999999995
05149,
06001,3.250000000000014
06005,3.250000000000014
06007,-2.4200000000000017
06011,
06013,-3.519999999999996
06019,19.230000000000004
06021,
06025,20.069999999999993
06029,27.47
06031,25.17
06035,-36.120000000000005
06037,24.989999999999995
06039,20.210000000000008
06047,9.209999999999994
06049,-36.86999999999999
06053,19.230000000000004
06061,
06065,19.230000000000018
06067,3.0400000000000063
06069,19.239999999999995
06073,20.069999999999993
06077,3.250000000000014
06079,29.549999999999997
06083,27.47
06085,3.250000000000014
06089,-36.179999999999986
06093,-36.179999999999986
06095,
06097,-4.110000000000014
06099,3.9399999999999977
06101,
06103,-31.210000000000008
06107,21.799999999999997
06113,
06115,
08001,-8.5
08003,8.480000000000004
08005,4.549999999999997
08009,14.799999999999997
08011,11.560000000000002
08013,-3.4899999999999807
08014,
08017,17.739999999999995
08021,9.340000000000003
08023,12.259999999999991
08025,4.849999999999994
08031,
08033,
08039,2.1500000000000057
08041,13.989999999999995
08059,-8.050000000000004
08061,3.490000000000002
08063,12.370000000000012
08067,7.1299999999999955
08069,8.840000000000018
08071,15.89
08073,12.599999999999994
08075,-2.760000000000005
08077,1.8000000000000114
08081,-17.420000000000016
08083,7.11999999999999
08087,-5.75
08089,2.250000000000007
08095,13.180000000000007
08099,4.740000000000009
08101,16.089999999999996
08103,
08105,7.439999999999998
08107,8.459999999999994
08109,8.489999999999988
08113,
08115,13.600000000000009
08121,0.9500000000000028
08123,-3.6000000000000085
08125,3.6299999999999955
10001,2.519999999999996
10003,8.350000000000009
10005,-1.1800000000000068
12001,9.240000000000002
12013,
12023,9.240000000000002
12033,
12039,
12041,9.240000000000002
12045,
12047,9.240000000000002
12059,
12063,
12065,
12073,
12075,9.240000000000002
12077,
12079,9.240000000000002
12091,
12113,
12121,9.240000000000002
12131,
12133,
13001,7.549999999999997
13003,10.77000000000001
13005,10.299999999999997
13007,
13009,
13011,10.06000000000001
13015,
13017,11.71
13019,10.529999999999994
13021,14.829999999999998
13023,13.409999999999997
13027,9.240000000000002
13029,
13031,
13033,3.989999999999995
13035,
13037,
13043,
13045,
13047,
13055,
13057,
13059,
13061,
13069,11.659999999999997
13071,10.370000000000005
13073,
13075,11.150000000000006
13077,
13079,13.90000000000002
13081,12.740000000000009
13087,
13091,11.36
13093,11.740000000000002
13095,11.100000000000009
13097,
13099,
13103,
13105,
13107,
13109,
13113,
13115,
13117,
13119,
13125,
13129,
13131,
13133,
13139,
13141,
13143,
13145,8.030000000000008
13147,
13149,
13151,
13153,14.269999999999996
13155,12.0
13157,
13159,
13161,9.879999999999995
13163,
13165,
13167,
13169,13.990000000000002
13171,13.960000000000008
13173,10.06000000000001
13175,8.260000000000005
13177,10.599999999999994
13181,
13183,
13185,10.06000000000001
13189,
13193,11.43999999999999
13195,
13197,10.349999999999994
13199,8.439999999999998
13201,
13205,
13207,
13209,
13211,
13213,
13217,
13219,
13221,
13225,
13229,10.06000000000001
13231,
13233,
13235,14.43999999999999
13237,
13239,
13243,10.210000000000008
13245,5.340000000000003
13247,
13249,10.120000000000012
13251,3.8200000000000074
13253,
13255,
13259,
13261,10.52000000000001
13265,
13267,
13269,11.000000000000007
13271,11.910000000000004
13273,11.519999999999989
13275,
13277,10.080000000000005
13279,
13283,7.269999999999989
13287,10.13999999999998
13289,14.04
13293,
13295,
13297,
13299,11.650000000000006
13301,
13303,
13305,10.06000000000001
13307,8.66000000000001
13309,10.149999999999999
13311,10.06000000000001
13313,
13315,12.169999999999987
13317,
13319,10.70000000000001
13321,11.189999999999998
16001,-18.970000000000013
16003,-24.669999999999973
16005,-9.120000000000005
16007,-20.200000000000003
16009,-23.449999999999974
16011,-0.45999999999997954
16013,-16.08
16017,-22.92
16019,-7.010000000000019
16021,
16023,-1.8500000000000085
16025,-20.83
16027,-19.889999999999986
16029,-18.180000000000007
16031,-11.120000000000005
16033,-14.820000000000022
16035,-15.360000000000007
16037,-5.0
16039,-6.47999999999999
16041,-19.639999999999986
16043,-16.879999999999995
16045,-18.54999999999997
16047,-19.97
16049,-15.110000000000014
16051,-3.339999999999975
16053,-19.080000000000013
16055,-23.019999999999996
16057,
16059,-5.349999999999994
16061,-16.400000000000006
16063,-21.150000000000034
16065,-6.670000000000002
16067,-0.0899999999999892
16069,-16.720000000000013
16071,-9.140000000000015
16073,-20.5
16075,-28.370000000000005
16077,-19.0
16081,-16.39999999999999
16083,-6.0
16085,-18.25999999999999
16087,-11.169999999999973
17001,
17003,
17005,
17007,
17009,
17011,
17013,
17015,
17017,
17019,
17021,
17023,
17025,
17027,
17029,
17031,
17033,
17035,
17037,
17039,
17041,
17043,
17045,
17047,
17049,
17051,
17053,
17055,
17057,
17059,
17061,
17063,
17065,
17067,
17069,
17071,
17073,
17075,
17077,
17079,
17081,
17083,
17085,
17087,
17089,
17091,
17093,
17095,
17097,
17099,
17101,
17103,
17105,
17107,
17109,
17111,
17113,
17115,
17117,
17119,
17121,
17123,
17125,
17127,
17129,
17131,
17133,
17135,
17137,
17139,
17141,
17143,
17145,
17147,
17149,
17151,
17153,
17155,
17157,
17159,
17161,
17163,
17165,
17167,
17169,
17171,
17173,
17175,
17177,
17179,
17181,
17183,
17185,
17187,
17189,
17191,
17193,
17195,
17197,
17199,
17201,
17203,
18001,
18003,
18005,
18007,
18009,
18011,
18013,
18015,
18017,
18019,
18021,
18023,
18027,
18029,
18031,
18033,
18035,
18037,
18039,
18041,
18043,
18045,
18047,
18049,
18051,
18053,
18055,
18057,
18059,
18061,
18063,
18065,
18067,
18069,
18071,
18073,
18075,
18077,
18079,
18081,
18083,
18085,
18087,
18089,
18091,
18093,
18095,
18097,
18099,
18101,
18103,
18105,
18107,
18109,
18111,
18113,
18115,
18117,
18119,
18121,
18123,
18125,
18127,
18129,
18131,
18133,
18135,
18137,
18139,
18141,
18143,
18145,
18147,
18149,
18151,
18153,
18155,
18157,
18159,
18161,
18163,
18165,
18167,
18169,
18171,
18173,
18175,
18177,
18179,
18181,
18183,
19001,
19003,
19005,
19007,
19029,
19031,
19039,
19043,
19045,
19047,
19051,
19053,
19057,
19061,
19063,
19065,
19071,
19085,
19087,
19089,
19095,
19097,
19101,
19103,
19105,
19107,
19111,
19115,
19117,
19119,
19121,
19123,
19125,
19129,
19133,
19135,
19137,
19139,
19145,
19149,
19155,
19157,
19159,
19163,
19165,
19167,
19173,
19175,
19177,
19179,
19181,
19183,
19185,
19191,
19193,
20001,10.79
20003,
20005,
20007,13.689999999999998
20009,9.57
20011,10.79
20013,
20015,12.699999999999996
20017,-1.4699999999999989
20019,12.750000000000007
20021,
20023,6.489999999999981
20025,
20027,1.0799999999999983
20029,11.980000000000004
20031,9.790000000000013
20033,12.43999999999999
20035,10.580000000000013
20037,
20039,
20041,-2.3900000000000006
20043,
20045,
20047,15.290000000000006
20049,11.030000000000001
20051,13.279999999999987
20053,-2.499999999999986
20055,
20057,16.709999999999994
20059,
20061,-0.36000000000000654
20063,13.399999999999999
20065,
20067,13.349999999999994
20069,16.89
20071,
20073,13.079999999999991
20075,13.659999999999997
20077,12.939999999999998
20079,4.400000000000006
20081,21.42000000000001
20083,21.93999999999999
20085,
20087,
20089,
20091,
20093,16.359999999999985
20095,14.739999999999995
20097,14.86
20099,10.79
20101,
20103,
20105,2.5
20107,
20109,
20111,-1.039999999999992
20113,-3.319999999999993
20115,-2.180000000000007
20117,
20119,13.889999999999993
20121,
