fips,unemp
06007,60.98654708520179
06013,57.480980557903635
06017,53.69508457259621
06019,74.3958124512752
06029,60.59493206022769
06031,60.59493206022769
06039,65.0615901455767
06047,63.56212756565879
06053,75.05367948467695
06067,57.647309083173795
06069,79.41056078591895
06071,73.14936487078405
06077,57.19692987067606
06079,75.05367948467695
06087,78.79641742980779
06095,61.566319601629694
06099,61.60337552742617
06101,60.98654708520179
06107,60.59493206022769
06109,62.07638515330823
06111,72.23529411764706
06113,61.323413369405934
06115,56.70225385527876
08029,106.75878074779723
08077,106.75878074779723
08085,106.75878074779723
09001,93.6237962100031
09003,95.57482354807159
09005,95.09510816350509
09007,95.58619413343203
09009,95.09510816350509
09011,95.5504132231405
09013,96.37977778959119
09015,
16027,102.5064267352185
16045,102.5064267352185
16073,102.5064267352185
16075,102.5064267352185
16087,102.5064267352185
23001,
23005,
23007,
23009,
23011,
23013,
23017,
23019,
23025,
23027,
23031,
24001,
24013,
24015,
24021,
24025,
24043,
25003,95.78038683052331
25005,
25009,
25011,96.48017194486091
25013,96.34850813503631
25015,96.25795862178511
25017,
25021,
25023,
25027,
26005,
26009,
26019,
26021,
26027,
26037,
26049,
26055,
26067,
26077,
26081,131.8234610917538
26089,
26091,
26099,
26101,
26105,
26117,
26121,
26123,
26127,
26139,
26155,
26159,
26161,
33001,
33003,
33005,
33007,
33009,
33011,100.67085170873258
33013,
33015,
33017,
33019,
34001,
34005,91.23361112585592
34007,
34011,
34015,
34019,91.26994663197301
34021,91.23361112585592
34023,91.23361112585592
34027,
34033,
34035,
34037,
34041,94.31186876978238
36001,96.69307838386484
36007,97.25782334721778
36011,
36019,
36021,96.22890260935401
36027,93.47980613893377
36031,
36035,
36055,
36063,114.80335612339738
36065,
36067,
36069,
36071,94.10695742471442
36073,
36075,
36083,97.47870483390426
36087,94.02442192777345
36091,98.10051756298768
36095,96.75939277942372
36097,
36103,104.26641701217065
36111,95.17812629829663
36115,98.94586480087824
36117,
37003,
37011,
37021,
37023,
37045,
37087,
37089,
37109,
37111,
37113,
37121,
37125,
37149,
37161,
37169,
37189,
37193,
39029,77.62910989638574
39043,77.62910989638574
39045,77.62910989638574
39051,77.62910989638574
39079,77.62910989638574
39089,77.62910989638574
39093,77.62910989638574
39095,77.62910989638574
39099,77.62910989638574
39123,77.62910989638574
39141,77.62910989638574
39145,77.62910989638574
41005,93.74447782293693
41023,123.46276750266291
41027,93.78032642258492
41039,93.74447782293693
41043,93.74447782293693
41045,102.14537303874481
41047,93.74447782293693
41049,123.69033760186264
41053,93.74447782293693
41059,123.37913682988193
41065,93.8382768361582
41067,93.74447782293693
41071,93.74447782293693
42001,
42003,
42007,
42009,
42011,
42013,
42015,
42017,92.10015137915791
42019,
42025,
42027,
42029,
42037,
42041,
42043,
42049,
42055,
42063,
42067,
42071,
42073,
42075,
42077,
42079,77.18240863055922
42081,
42087,
42089,93.97483190749024
42093,
42095,92.13347627981774
42097,
42107,
42109,
42117,
42119,
42121,
42125,
42133,
44005,
44007,
44009,95.5504132231405
49003,103.5598705501618
49049,103.5598705501618
50001,98.9986073347039
50003,97.22130202605112
50007,
50011,
50013,
50021,102.13937783682054
50025,100.36670587421297
50027,101.91436748075908
51003,
51009,
51019,
51023,
51027,
51035,
51043,
51047,
51061,
51063,
51067,
51069,
51071,
51113,
51125,
51141,
51157,
51161,
51165,
51171,
51173,
51197,
53001,74.43121892421274
53005,88.4411947728687
53007,73.72020516946596
53013,122.14264691454922
53017,82.95639587479646
53021,92.16016397042677
53025,84.21587117365443
53037,71.27099949092144
53039,89.88940309043846
53047,67.56515530167798
53063,83.21355624479915
53065,81.64041695198966
53071,84.90240706255602
53077,82.63518659558264
54003,
54027,
54037,
54055,
54063,
54065,
