fips,unemp
01001,
01003,
01005,102.48873211836175
01007,
01009,101.69192809305605
01011,102.65087422447827
01013,
01015,
01019,
01021,
01025,
01027,
01029,
01031,
01033,89.56463941508808
01035,
01039,
01041,
01043,90.33959775799538
01045,
01047,
01049,112.15118332744612
01051,
01053,
01055,99.17763157894738
01057,109.81572019556225
01059,89.53488372093025
01061,
01063,106.13508101219735
01065,
01067,102.53045923149016
01069,
01071,99.40554821664465
01075,102.26442658875092
01077,91.70653907496012
01079,90.2800658978583
01081,102.76101663923936
01083,91.86602870813397
01085,
01087,102.50857245984477
01089,97.0100747481313
01091,106.57678994352342
01093,90.81597814953909
01095,98.74326750448833
01097,
01099,
01101,
01103,91.89534141671986
01105,
01107,107.58311542771759
01109,
01113,103.59198253621751
01117,
01119,106.15440640932263
01121,
01125,107.5821553148522
01129,
01131,
05001,105.76065632245405
05003,100.2770083102493
05007,
05011,106.38297872340425
05017,98.31709477413641
05019,96.83698296836984
05021,99.44433799578461
05029,100.38824181919024
05031,97.26324079543218
05033,102.32681121099947
05035,105.8893515764426
05037,101.76635889201124
05041,101.32234243517088
05043,106.38297872340425
05045,94.58775923115832
05047,97.8698906160046
05055,105.99274898699082
05057,97.6962457337884
05059,99.12854030501089
05061,74.21272847390445
05063,109.15157292659674
05067,91.65596919127086
05069,99.37629937629937
05071,100.83102493074789
05073,97.6962457337884
05075,104.735883424408
05077,103.7475345167653
05079,93.33333333333333
05081,41.917973462002415
05083,100.50962627406565
05085,112.03412662775034
05091,81.23701823217172
05093,106.54545454545455
05095,100.18214936247722
05105,93.0290250558174
05107,96.17215768425064
05111,101.08653473030655
05115,100.0
05117,106.39259091935848
05119,94.91193737769079
05121,112.09561096229137
05123,106.94736842105263
05131,94.25754060324824
05133,73.55955363242998
05145,98.369715390992
05147,100.7231404958678
05149,100.8700380641653
08009,97.2953349065166
08011,97.33067005629198
08063,81.47410358565737
08075,87.07753479125249
08095,88.52888234331535
08099,91.8854415274463
08115,100.87037612682623
08121,74.70255510044859
08125,80.18867924528303
10001,101.89359783588819
10003,101.02095647501343
10005,106.80882903105125
12001,101.61137440758294
12007,103.6464526357511
12013,91.5006100040667
12023,101.61137440758294
12033,
12039,101.83795948987245
12041,101.61137440758294
12047,105.18292682926831
12059,
12063,
12065,108.63257163583604
12067,
12073,101.29349608307525
12075,
12077,101.91801429108686
12079,
12091,
12113,
12121,103.97610602949415
12125,104.0268456375839
12131,
12133,
13001,100.5498821681068
13003,107.86140089418778
13005,99.92213859330391
13007,105.0710718401844
13009,98.51805468586934
13011,
13013,104.320987654321
13015,
13017,99.22589725545389
13019,107.4565501775369
13021,92.30140902593425
13023,98.15292096219933
13025,95.74468085106382
13027,106.75625233296006
13029,97.62470308788599
13031,97.89548356585482
13033,101.40515222482433
13035,98.51805468586934
13037,102.878257487359
13043,100.16343684333411
13045,
13047,
13051,
13055,
13057,
13059,
13061,106.82326621923934
13065,107.86140089418778
13069,103.21615557217649
13071,
13073,
13075,105.852137222528
13077,
13079,98.51805468586934
13081,104.480781482268
13083,100.13240648791792
13085,
13087,92.80835676978707
13091,98.6101919258769
13093,103.05422813214213
13095,103.31734612310153
13099,99.3415956622773
13103,
13105,
13107,98.51428571428572
13109,
13111,
13113,
13115,
13119,
13125,
13129,
13131,102.906232864193
13141,98.51805468586934
13143,
13147,
13149,
13151,
13153,92.28352640879638
13155,107.86140089418778
13157,
13161,93.05873379099924
13163,100.35252643948299
13165,97.74078478002377
13167,105.67646398923043
13169,98.51805468586934
13171,
13173,107.86140089418778
13175,102.89461781999097
13177,105.74257425742574
13179,100.5639097744361
13183,97.74261112404005
13185,104.52505609573673
13189,101.86915887850468
13193,97.82144382742416
13195,
13197,104.95801679328267
13199,
13201,102.36374291853876
13205,108.44494047619048
13209,105.11721704058483
13211,98.51805468586934
13213,
13217,98.51805468586934
13219,
13221,
13225,96.18163054695562
13229,95.7724425887265
13231,
13233,
13235,97.38065061258979
13243,105.49019607843138
13245,105.7188425609478
13249,104.98632442667788
13251,96.58559401309633
13253,91.92597112060199
13255,
13259,103.76237623762374
13261,106.78999369350429
13267,99.2100371747212
13269,98.83970777825525
13271,96.80344593062799
13273,105.8506543494996
13275,
13277,108.51572558396174
13279,104.15682569674067
13283,88.82874015748031
13285,
13287,103.27132777421421
13289,97.29381443298969
13295,
13297,104.320987654321
13299,102.16160576428204
13301,100.96266729279174
13303,104.93827160493827
13305,102.47349823321554
13307,104.42546583850931
13309,101.96531791907515
13311,
13313,
13315,102.33050847457625
13317,
13319,102.49894112664126
13321,102.01706749418156
17001,
17003,
17005,
17007,
17009,
17011,
17013,
17015,
17017,
17019,
17021,
17023,
17025,
17027,
17029,
17031,
17033,
17035,
17037,
17039,
17041,
17043,
17045,
17047,
17049,
17051,
17053,
17055,
17057,
17059,115.44227886056973
17061,
17063,
17065,
17067,
17069,
17071,
17073,
17075,
17077,
17079,
17081,
17083,
17085,
17087,
17089,
17091,
17093,
17095,
17097,
17099,
17101,102.8695181375203
17103,
17105,
17107,
17109,
17111,
17113,
17115,
17117,
17119,
17121,
17123,
17125,108.63509749303621
17127,
17129,
17131,
17133,
17135,
17137,
17139,
17141,
17143,
17145,
17147,
17149,
17151,
17153,
17155,
17157,
17159,
17161,114.22944362383063
17163,
17165,
17167,
17169,
17171,
17173,
17175,
17177,
17179,
17181,
17183,
17185,104.78282913638668
17187,
17189,
17191,109.08446962989198
17193,111.54460010640183
17195,113.98373983739836
17197,
17199,
17201,
17203,
18001,
18003,
18005,117.16142631301598
18007,
18009,
18011,
18013,117.16142631301598
18015,
18017,104.9243643385903
18019,
18021,
18023,
18025,
18027,104.74409114096244
18029,
18031,
18033,
18035,
18037,
18039,103.20828382278052
18041,
18043,
18045,
18047,
18049,104.77261770850075
18051,105.68826258807356
18053,
18055,105.9820193637621
18057,
18059,
18061,
18063,
18065,
18067,
18069,
18071,116.94764862466727
18073,104.45114381982619
18075,
18077,
18079,117.94691509931442
18081,
18083,106.01073965009529
18085,107.87172011661808
18087,107.95243403939054
18089,
18091,101.30126832482293
18093,
18095,
18097,
18099,103.85510136257894
18101,
18103,105.50235351403994
18105,
18107,
18109,
18111,
18113,
18115,
18117,
18119,
18121,
18123,
18125,105.25403155886943
18127,100.97990367048662
18129,
18131,106.46802325581395
18133,
18135,
18137,
18139,
18141,99.4142259414226
18143,
18145,
18147,
18149,103.04324612920448
18151,113.82720656838963
18153,107.89980732177264
18155,
18157,
18159,
18161,
18163,107.37730540794
18165,
18167,
18169,105.99902454885385
18171,
18173,106.8235294117647
18175,
18177,
18179,
18181,
18183,
19001,
19003,
19005,
19007,
19009,
19011,
19013,
19015,
19017,
19019,
19021,
19023,
19025,
19027,
19029,
19031,
19033,
19035,
19037,
19039,
19041,
19043,
19045,
19047,
19049,
19051,106.41573994867409
19053,
19055,
19057,
19059,
19061,
19063,
19065,
19067,
19069,
19071,96.93629437510134
19073,
19075,
19077,
19079,
19081,
19083,
19085,
19087,
19089,
19091,
19093,
19095,
19097,113.91786179921775
19099,
19101,
19103,
19105,114.38333875691507
19107,
19109,
19111,
19113,
19115,
19117,
19119,
19121,
19123,
19125,
19127,
19129,
19131,
19133,
19135,
19137,
19139,
19141,
19143,
19145,
19147,
19149,
19151,
19153,
19155,
19157,
19159,110.76764554353427
19161,
19163,
19165,
19167,
19169,
19171,
19173,109.84332425068119
19175,
19177,
19179,
19181,
19183,
19185,
19187,
19189,
19191,118.59886201991468
19193,
19195,
19197,
20001,89.35556928144945
20003,92.74839743589742
20005,108.88962326503638
20007,79.74388824214202
20009,99.51905290418053
20011,74.98424700693133
20013,
20015,85.09090909090908
20017,88.93748860944048
20019,90.02067280586355
20021,76.9881556683587
20023,97.92073929269594
20025,90.51165803108807
20027,107.71594400819393
20029,103.76524659713631
20031,93.41361065498997
20033,83.83697505036417
20035,91.6371763829391
20037,86.15200955033824
20039,68.49551414768807
20041,104.01111304045843
20043,
20045,104.88479262672811
20047,90.64965586704719
20049,71.8928501083317
20051,98.73793615441724
20053,92.42594675665542
20055,78.78575188629584
20057,90.46771322220425
20059,94.1352259992529
20061,93.88532825220855
20063,77.49315289189624
20065,79.26045016077168
20067,97.19626168224299
20069,86.93524710487685
20071,87.05050108076242
20073,88.34688346883468
20075,96.09236234458261
20077,75.89285714285715
20079,86.3138686131387
20081,66.85898523672152
20083,77.30673316708229
20085,104.59705937092873
20087,
20089,104.96957403651115
20091,102.41742018822661
20093,78.86149383611311
20095,75.07331378299119
20097,85.39566147265505
20099,56.71957671957672
20101,77.71286953443088
