fips,unemp
01005,
01011,
01031,
01039,
01041,
01045,
01051,
01059,
01061,
01067,
01069,
01077,
01081,
01101,
01109,
01113,
05001,-3.5200000000000102
05003,
05017,
05019,-20.67
05021,
05029,-6.689999999999998
05031,-11.91000000000001
05033,
05035,-7.030000000000001
05037,-7.540000000000006
05041,-7.329999999999998
05043,
05045,-6.689999999999998
05047,
05055,-19.570000000000007
05063,1.5900000000000176
05067,-7.430000000000007
05069,-2.999999999999986
05073,
05075,-10.919999999999987
05077,-7.450000000000003
05079,-2.0800000000000267
05081,
05085,-5.510000000000019
05091,
05093,-13.769999999999996
05095,-7.420000000000002
05105,-6.549999999999997
05107,-7.140000000000001
05111,-5.8700000000000045
05115,-20.67
05117,-4.569999999999993
05119,-5.489999999999995
05121,-17.459999999999994
05123,-7.929999999999993
05145,-5.299999999999983
05147,-4.549999999999983
08001,-2.530000000000001
08009,-5.88000000000001
08011,-4.8799999999999955
08017,-8.789999999999992
08025,-9.0
08061,-5.780000000000008
08063,-15.289999999999978
08071,-5.88000000000001
08073,-4.579999999999998
08075,-21.57000000000002
08087,
08089,-7.009999999999998
08095,-23.679999999999993
08099,-3.079999999999991
08101,-7.200000000000003
08115,
08121,-19.5
08123,
08125,-25.440000000000012
10001,
10005,
12013,
12063,
12065,
13005,
13007,
13013,
13015,
13017,
13019,
13023,
13031,
13033,
13037,
13061,
13069,
13075,
13081,
13087,
13091,
13093,
13095,
13099,
13105,
13107,
13109,
13115,
13117,
13119,
13129,
13131,
13147,
13149,
13151,
13153,
13155,
13157,
13161,
13163,
13165,
13167,
13171,
13175,
13177,
13185,
13193,
13195,
13197,
13199,
13201,
13205,
13207,
13209,
13211,
13219,
13229,
13235,
13243,
13251,
13253,
13255,
13259,
13261,
13267,
13269,
13271,
13273,
13275,
13277,
13279,
13283,
13285,
13287,
13289,
13295,
13297,
13301,
13303,
13307,
13309,
13311,
13313,
13315,
13317,
13319,
13321,
17001,
17003,
17005,
17013,
17023,
17025,
17027,
17033,
17047,
17049,
17051,
17055,
17059,
17061,
17065,
17069,
17071,
17077,
17079,
17081,
17083,
17087,
17101,
17117,
17119,
17121,
17125,
17127,
17131,
17133,
17135,
17145,
17149,
17151,
17153,
17157,
17159,
17163,
17165,
17173,
17181,
17185,
17189,
17191,
17193,
17199,
18027,
18051,
18055,
18083,
18129,
18153,
18163,
18167,
19071,
19145,
19173,
20001,
20003,
20005,
20007,-5.019999999999996
20009,-10.430000000000007
20011,
20013,
20015,-11.25
20017,
20019,
20021,
20023,
20025,-22.77000000000001
20027,
20029,
20031,
20033,-20.90000000000002
20035,
20037,
20039,-46.1
20041,
20043,
20045,
20047,-16.029999999999987
20049,
20051,
20053,-12.940000000000012
20055,-24.610000000000014
20057,-5.450000000000003
20059,
20061,
20063,-43.13000000000001
20065,
20067,-28.64
20069,
20071,
20073,
20075,-26.27000000000001
20077,-7.529999999999987
20079,-8.810000000000002
20081,-48.639999999999986
20083,-6.220000000000013
20085,
20087,
20089,
20091,
20093,-25.970000000000013
20095,-3.5
20097,-10.800000000000026
20099,
20101,-24.209999999999994
20103,
20105,-17.819999999999993
20107,
20109,-33.06
20111,
20113,
20115,-15.100000000000009
20117,
20119,-24.079999999999984
20121,
20123,
20125,
20127,
20129,-9.920000000000009
20131,
20133,
20135,-24.78
20137,-39.23000000000002
20139,
20141,
20143,
20145,-14.590000000000003
20147,
20149,
20151,-14.259999999999991
20153,-38.32000000000001
20155,-8.189999999999984
20157,
20159,-14.409999999999997
20161,
20163,-36.880000000000024
20165,-8.840000000000003
20167,-12.219999999999999
20169,-16.76000000000002
20171,
20173,-7.490000000000009
20175,-31.23999999999998
20177,
20179,
20181,-25.370000000000005
20183,
20185,-11.939999999999998
20187,-25.66000000000001
20189,-11.439999999999998
20191,-3.1299999999999955
20193,-40.27000000000001
20195,
20197,
20199,
20201,
20203,
20205,
20207,
20209,
21007,
21033,
21039,
21055,
21059,
21075,
21083,
21101,
21105,
21107,
21139,
21145,
21157,
21225,
21227,
21233,
22001,
22009,
22011,
22015,
22019,
22021,
22025,
22029,
22035,
22039,
22041,
22043,
22053,
22055,
22065,
22067,
22069,
22073,
22077,
22079,
22083,
22097,
22107,
22113,
22123,
24005,
24009,
24011,
24015,
24017,
24019,
24027,
24029,
24033,
24035,
24037,
24039,
24041,
24043,
24045,
24047,
28001,
28009,
28011,-7.530000000000015
28015,
28017,
28027,-10.200000000000003
28033,-7.689999999999998
28043,
28051,
28053,
28055,
28081,
28083,
28093,
28095,
28107,-7.5800000000000125
28115,
28117,
28119,-6.360000000000014
28125,
